"year","site","catch","effort"
1,"port1",33,5.8093571235553
2,"port1",73.5555555555556,13.4122196902199
3,"port1",74.1111111111111,16.8987281720573
4,"port1",53.6666666666667,9.325428077702
5,"port1",69.2222222222222,13.5099682836375
6,"port1",66.7777777777778,12.3317938227046
7,"port1",95.3333333333333,21.3673402494046
8,"port1",92.8888888888889,18.6816915018131
9,"port1",98.4444444444444,18.6905849661369
10,"port1",93,14.4816535200852
1,"port2",0,0
2,"port2",12,2.44523922647319
3,"port2",43,9.61621868758505
4,"port2",34,7.11704158714302
5,"port2",43,10.0890559986939
6,"port2",38,6.17431856544494
7,"port2",54,12.0018295742383
8,"port2",76,15.7141151017742
9,"port2",89,17.5148830810871
10,"port2",85,15.6656367200376
1,"port3",85,18.5802948876326
2,"port3",108,27.2778644939693
3,"port3",82,16.5754170352547
4,"port3",101,18.8783893974055
5,"port3",96,18.6331121470494
6,"port3",101,22.5467786850957
7,"port3",93,15.8603321479963
8,"port3",97,17.5858073619043
9,"port3",88,16.1418756815731
10,"port3",100,25.2925505936259
